Class	Field	Type	Description
ExcelScript.ChartErrorBars	setType(type)	Method	The type of range marked by the error bars.
ExcelScript.ChartErrorBars	setVisible(visible)	Method	Specifies whether the error bars are displayed.
ExcelScript.ChartErrorBarsFormat		Class	Encapsulates the format properties for chart error bars.
ExcelScript.ChartErrorBarsFormat	getLine()	Method	Represents the chart line formatting.
ExcelScript.ChartErrorBarsInclude		Class	Represents which parts of the error bar to include.
ExcelScript.ChartErrorBarsInclude	both	EnumField	
ExcelScript.ChartErrorBarsInclude	minusValues	EnumField	
ExcelScript.ChartErrorBarsInclude	plusValues	EnumField	
ExcelScript.ChartErrorBarsType		Class	Represents the range type for error bars.
ExcelScript.ChartErrorBarsType	custom	EnumField	
ExcelScript.ChartErrorBarsType	fixedValue	EnumField	
ExcelScript.ChartErrorBarsType	percent	EnumField	
ExcelScript.ChartErrorBarsType	stDev	EnumField	
ExcelScript.ChartErrorBarsType	stError	EnumField	
ExcelScript.ChartFill		Class	Represents the fill formatting for a chart element.
ExcelScript.ChartFill	clear()	Method	Clears the fill color of a chart element.
ExcelScript.ChartFill	setSolidColor(color)	Method	Sets the fill formatting of a chart element to a uniform color.
ExcelScript.ChartFont		Class	This object represents the font attributes (such as font name  font size  and color) for a chart object.
ExcelScript.ChartFont	getBold()	Method	Represents the bold status of font.
ExcelScript.ChartFont	getColor()	Method	HTML color code representation of the text color (e.g.  \#FF0000 represents Red).
ExcelScript.ChartFont	getItalic()	Method	Represents the italic status of the font.
ExcelScript.ChartFont	getName()	Method	"Font name (e.g.  ""Calibri"")"
ExcelScript.ChartFont	getSize()	Method	Size of the font (e.g.  11)
ExcelScript.ChartFont	getUnderline()	Method	Type of underline applied to the font.
ExcelScript.ChartFont	setBold(bold)	Method	Represents the bold status of font.
ExcelScript.ChartFont	setColor(color)	Method	HTML color code representation of the text color (e.g.  \#FF0000 represents Red).
ExcelScript.ChartFont	setItalic(italic)	Method	Represents the italic status of the font.
ExcelScript.ChartFont	setName(name)	Method	"Font name (e.g.  ""Calibri"")"
ExcelScript.ChartFont	setSize(size)	Method	Size of the font (e.g.  11)
ExcelScript.ChartFont	setUnderline(underline)	Method	Type of underline applied to the font.
ExcelScript.ChartFormatString		Class	Represents the substring in chart related objects that contain text  like a `ChartTitle` object or `ChartAxisTitle` object.
ExcelScript.ChartFormatString	getFont()	Method	Represents the font attributes  such as font name  font size  and color of a chart characters object.
ExcelScript.ChartGradientStyle		Class	Represents the gradient style of a chart series.
ExcelScript.ChartGradientStyle	threePhaseColor	EnumField	
ExcelScript.ChartGradientStyle	twoPhaseColor	EnumField	
ExcelScript.ChartGradientStyleType		Class	Represents the gradient style type of a chart series.
ExcelScript.ChartGradientStyleType	extremeValue	EnumField	
ExcelScript.ChartGradientStyleType	number	EnumField	
ExcelScript.ChartGradientStyleType	percent	EnumField	
ExcelScript.ChartGridlines		Class	Represents major or minor gridlines on a chart axis.
ExcelScript.ChartGridlines	getFormat()	Method	Represents the formatting of chart gridlines.
ExcelScript.ChartGridlines	getVisible()	Method	Specifies if the axis gridlines are visible.
ExcelScript.ChartGridlines	setVisible(visible)	Method	Specifies if the axis gridlines are visible.
ExcelScript.ChartGridlinesFormat		Class	Encapsulates the format properties for chart gridlines.
ExcelScript.ChartGridlinesFormat	getLine()	Method	Represents chart line formatting.
ExcelScript.ChartLegend		Class	Represents the legend in a chart.
ExcelScript.ChartLegend	getFormat()	Method	Represents the formatting of a chart legend  which includes fill and font formatting.
ExcelScript.ChartLegend	getHeight()	Method	Specifies the height  in points  of the legend on the chart.
ExcelScript.ChartLegend	getLeft()	Method	Specifies the left value  in points  of the legend on the chart.
ExcelScript.ChartLegend	getLegendEntries()	Method	Represents a collection of legendEntries in the legend.
ExcelScript.ChartLegend	getOverlay()	Method	Specifies if the chart legend should overlap with the main body of the chart.
ExcelScript.ChartLegend	getPosition()	Method	Specifies the position of the legend on the chart.
ExcelScript.ChartLegend	getShowShadow()	Method	Specifies if the legend has a shadow on the chart.
ExcelScript.ChartLegend	getTop()	Method	Specifies the top of a chart legend.
ExcelScript.ChartLegend	getVisible()	Method	Specifies if the chart legend is visible.
ExcelScript.ChartLegend	getWidth()	Method	Specifies the width  in points  of the legend on the chart.
ExcelScript.ChartLegend	setHeight(height)	Method	Specifies the height  in points  of the legend on the chart.
ExcelScript.ChartLegend	setLeft(left)	Method	Specifies the left value  in points  of the legend on the chart.
ExcelScript.ChartLegend	setOverlay(overlay)	Method	Specifies if the chart legend should overlap with the main body of the chart.
ExcelScript.ChartLegend	setPosition(position)	Method	Specifies the position of the legend on the chart.
ExcelScript.ChartLegend	setShowShadow(showShadow)	Method	Specifies if the legend has a shadow on the chart.
ExcelScript.ChartLegend	setTop(top)	Method	Specifies the top of a chart legend.
ExcelScript.ChartLegend	setVisible(visible)	Method	Specifies if the chart legend is visible.
ExcelScript.ChartLegend	setWidth(width)	Method	Specifies the width  in points  of the legend on the chart.
ExcelScript.ChartLegendEntry		Class	Represents the legend entry in `legendEntryCollection`<!-- -->.
ExcelScript.ChartLegendEntry	getHeight()	Method	Specifies the height of the legend entry on the chart legend.
ExcelScript.ChartLegendEntry	getIndex()	Method	Specifies the index of the legend entry in the chart legend.
ExcelScript.ChartLegendEntry	getLeft()	Method	Specifies the left value of a chart legend entry.
ExcelScript.ChartLegendEntry	getTop()	Method	Specifies the top of a chart legend entry.
ExcelScript.ChartLegendEntry	getVisible()	Method	Represents the visibility of a chart legend entry.
ExcelScript.ChartLegendEntry	getWidth()	Method	Represents the width of the legend entry on the chart Legend.
ExcelScript.ChartLegendEntry	setVisible(visible)	Method	Represents the visibility of a chart legend entry.
ExcelScript.ChartLegendFormat		Class	Encapsulates the format properties of a chart legend.
ExcelScript.ChartLegendFormat	getBorder()	Method	Represents the border format  which includes color  linestyle  and weight.
ExcelScript.ChartLegendFormat	getFill()	Method	Represents the fill format of an object  which includes background formatting information.
ExcelScript.ChartLegendFormat	getFont()	Method	Represents the font attributes such as font name  font size  and color of a chart legend.
ExcelScript.ChartLegendPosition		Class	
ExcelScript.ChartLegendPosition	bottom	EnumField	
ExcelScript.ChartLegendPosition	corner	EnumField	
ExcelScript.ChartLegendPosition	custom	EnumField	
ExcelScript.ChartLegendPosition	invalid	EnumField	
ExcelScript.ChartLegendPosition	left	EnumField	
ExcelScript.ChartLegendPosition	right	EnumField	
ExcelScript.ChartLegendPosition	top	EnumField	
ExcelScript.ChartLineFormat		Class	Encapsulates the formatting options for line elements.
ExcelScript.ChartLineFormat	clear()	Method	Clears the line format of a chart element.
ExcelScript.ChartLineFormat	getColor()	Method	HTML color code representing the color of lines in the chart.
ExcelScript.ChartLineFormat	getLineStyle()	Method	Represents the line style.
ExcelScript.ChartLineFormat	getWeight()	Method	Represents weight of the line  in points.
ExcelScript.ChartLineFormat	setColor(color)	Method	HTML color code representing the color of lines in the chart.
ExcelScript.ChartLineFormat	setLineStyle(lineStyle)	Method	Represents the line style.
ExcelScript.ChartLineFormat	setWeight(weight)	Method	Represents weight of the line  in points.
ExcelScript.ChartLineStyle		Class	
ExcelScript.ChartLineStyle	automatic	EnumField	
ExcelScript.ChartLineStyle	continuous	EnumField	
ExcelScript.ChartLineStyle	dash	EnumField	
ExcelScript.ChartLineStyle	dashDot	EnumField	
ExcelScript.ChartLineStyle	dashDotDot	EnumField	
ExcelScript.ChartLineStyle	dot	EnumField	
ExcelScript.ChartLineStyle	grey25	EnumField	
ExcelScript.ChartLineStyle	grey50	EnumField	
ExcelScript.ChartLineStyle	grey75	EnumField	
ExcelScript.ChartLineStyle	none	EnumField	
ExcelScript.ChartLineStyle	roundDot	EnumField	
ExcelScript.ChartMapAreaLevel		Class	Represents the mapping level of a chart series.
ExcelScript.ChartMapAreaLevel	automatic	EnumField	
ExcelScript.ChartMapAreaLevel	city	EnumField	
ExcelScript.ChartMapAreaLevel	continent	EnumField	
ExcelScript.ChartMapAreaLevel	country	EnumField	
ExcelScript.ChartMapAreaLevel	county	EnumField	
ExcelScript.ChartMapAreaLevel	dataOnly	EnumField	
ExcelScript.ChartMapAreaLevel	state	EnumField	
ExcelScript.ChartMapAreaLevel	world	EnumField	
ExcelScript.ChartMapLabelStrategy		Class	Represents the region level of a chart series layout.
ExcelScript.ChartMapLabelStrategy	bestFit	EnumField	
ExcelScript.ChartMapLabelStrategy	none	EnumField	
ExcelScript.ChartMapLabelStrategy	showAll	EnumField	
ExcelScript.ChartMapOptions		Class	Encapsulates the properties for a region map chart.
ExcelScript.ChartMapOptions	getLabelStrategy()	Method	Specifies the series map labels strategy of a region map chart.
ExcelScript.ChartMapOptions	getLevel()	Method	Specifies the series mapping level of a region map chart.
ExcelScript.ChartMapOptions	getProjectionType()	Method	Specifies the series projection type of a region map chart.
ExcelScript.ChartMapOptions	setLabelStrategy(labelStrategy)	Method	Specifies the series map labels strategy of a region map chart.
ExcelScript.ChartMapOptions	setLevel(level)	Method	Specifies the series mapping level of a region map chart.
ExcelScript.ChartMapOptions	setProjectionType(projectionType)	Method	Specifies the series projection type of a region map chart.
ExcelScript.ChartMapProjectionType		Class	Represents the region projection type of a chart series layout.
ExcelScript.ChartMapProjectionType	albers	EnumField	
ExcelScript.ChartMapProjectionType	automatic	EnumField	
ExcelScript.ChartMapProjectionType	mercator	EnumField	
ExcelScript.ChartMapProjectionType	miller	EnumField	
ExcelScript.ChartMapProjectionType	robinson	EnumField	
ExcelScript.ChartMarkerStyle		Class	
ExcelScript.ChartMarkerStyle	automatic	EnumField	
ExcelScript.ChartMarkerStyle	circle	EnumField	
ExcelScript.ChartMarkerStyle	dash	EnumField	
ExcelScript.ChartMarkerStyle	diamond	EnumField	
ExcelScript.ChartMarkerStyle	dot	EnumField	
ExcelScript.ChartMarkerStyle	invalid	EnumField	
ExcelScript.ChartMarkerStyle	none	EnumField	
ExcelScript.ChartMarkerStyle	picture	EnumField	
ExcelScript.ChartMarkerStyle	plus	EnumField	
ExcelScript.ChartMarkerStyle	square	EnumField	
ExcelScript.ChartMarkerStyle	star	EnumField	
ExcelScript.ChartMarkerStyle	triangle	EnumField	
ExcelScript.ChartMarkerStyle	x	EnumField	
ExcelScript.ChartParentLabelStrategy		Class	Represents the parent label strategy of the chart series layout.
ExcelScript.ChartParentLabelStrategy	banner	EnumField	
ExcelScript.ChartParentLabelStrategy	none	EnumField	
ExcelScript.ChartParentLabelStrategy	overlapping	EnumField	
ExcelScript.ChartPivotOptions		Class	Encapsulates the options for the pivot chart.
ExcelScript.ChartPivotOptions	getShowAxisFieldButtons()	Method	Specifies whether to display the axis field buttons on a PivotChart.
ExcelScript.ChartPivotOptions	getShowLegendFieldButtons()	Method	Specifies whether to display the legend field buttons on a PivotChart.
ExcelScript.ChartPivotOptions	getShowReportFilterFieldButtons()	Method	Specifies whether to display the report filter field buttons on a PivotChart.
ExcelScript.ChartPivotOptions	getShowValueFieldButtons()	Method	Specifies whether to display the show value field buttons on a PivotChart.
ExcelScript.ChartPivotOptions	setShowAxisFieldButtons(showAxisFieldButtons)	Method	Specifies whether to display the axis field buttons on a PivotChart.
ExcelScript.ChartPivotOptions	setShowLegendFieldButtons(showLegendFieldButtons)	Method	Specifies whether to display the legend field buttons on a PivotChart.
ExcelScript.ChartPivotOptions	setShowReportFilterFieldButtons(showReportFilterFieldButtons)	Method	Specifies whether to display the report filter field buttons on a PivotChart.
ExcelScript.ChartPivotOptions	setShowValueFieldButtons(showValueFieldButtons)	Method	Specifies whether to display the show value field buttons on a PivotChart.
ExcelScript.ChartPlotArea		Class	This object represents the attributes for a chart plot area.
ExcelScript.ChartPlotArea	getFormat()	Method	Specifies the formatting of a chart plot area.
ExcelScript.ChartPlotArea	getHeight()	Method	Specifies the height value of a plot area.
ExcelScript.ChartPlotArea	getInsideHeight()	Method	Specifies the inside height value of a plot area.
ExcelScript.ChartPlotArea	getInsideLeft()	Method	Specifies the inside left value of a plot area.
ExcelScript.ChartPlotArea	getInsideTop()	Method	Specifies the inside top value of a plot area.
ExcelScript.ChartPlotArea	getInsideWidth()	Method	Specifies the inside width value of a plot area.
ExcelScript.ChartPlotArea	getLeft()	Method	Specifies the left value of a plot area.
ExcelScript.ChartPlotArea	getPosition()	Method	Specifies the position of a plot area.
ExcelScript.ChartPlotArea	getTop()	Method	Specifies the top value of a plot area.
ExcelScript.ChartPlotArea	getWidth()	Method	Specifies the width value of a plot area.
ExcelScript.ChartPlotArea	setHeight(height)	Method	Specifies the height value of a plot area.
ExcelScript.ChartPlotArea	setInsideHeight(insideHeight)	Method	Specifies the inside height value of a plot area.
ExcelScript.ChartPlotArea	setInsideLeft(insideLeft)	Method	Specifies the inside left value of a plot area.
ExcelScript.ChartPlotArea	setInsideTop(insideTop)	Method	Specifies the inside top value of a plot area.
ExcelScript.ChartPlotArea	setInsideWidth(insideWidth)	Method	Specifies the inside width value of a plot area.
ExcelScript.ChartPlotArea	setLeft(left)	Method	Specifies the left value of a plot area.
ExcelScript.ChartPlotArea	setPosition(position)	Method	Specifies the position of a plot area.
ExcelScript.ChartPlotArea	setTop(top)	Method	Specifies the top value of a plot area.
ExcelScript.ChartPlotArea	setWidth(width)	Method	Specifies the width value of a plot area.
ExcelScript.ChartPlotAreaFormat		Class	Represents the format properties for a chart plot area.
ExcelScript.ChartPlotAreaFormat	getBorder()	Method	Specifies the border attributes of a chart plot area.
ExcelScript.ChartPlotAreaFormat	getFill()	Method	Specifies the fill format of an object  which includes background formatting information.
ExcelScript.ChartPlotAreaPosition		Class	
ExcelScript.ChartPlotAreaPosition	automatic	EnumField	
ExcelScript.ChartPlotAreaPosition	custom	EnumField	
ExcelScript.ChartPlotBy		Class	
ExcelScript.ChartPlotBy	columns	EnumField	
ExcelScript.ChartPlotBy	rows	EnumField	
ExcelScript.ChartPoint		Class	Represents a point of a series in a chart.
ExcelScript.ChartPoint	getDataLabel()	Method	Returns the data label of a chart point.
ExcelScript.ChartPoint	getFormat()	Method	Encapsulates the format properties chart point.
ExcelScript.ChartPoint	getHasDataLabel()	Method	Represents whether a data point has a data label.
ExcelScript.ChartPoint	getMarkerBackgroundColor()	Method	HTML color code representation of the marker background color of a data point (e.g.  \#FF0000 represents Red).
ExcelScript.ChartPoint	getMarkerForegroundColor()	Method	HTML color code representation of the marker foreground color of a data point (e.g.  \#FF0000 represents Red).
ExcelScript.ChartPoint	getMarkerSize()	Method	Represents marker size of a data point.
ExcelScript.ChartPoint	getMarkerStyle()	Method	Represents marker style of a chart data point.
ExcelScript.ChartPoint	getValue()	Method	Returns the value of a chart point.
ExcelScript.ChartPoint	setHasDataLabel(hasDataLabel)	Method	Represents whether a data point has a data label.
ExcelScript.ChartPoint	setMarkerBackgroundColor(markerBackgroundColor)	Method	HTML color code representation of the marker background color of a data point (e.g.  \#FF0000 represents Red).
ExcelScript.ChartPoint	setMarkerForegroundColor(markerForegroundColor)	Method	HTML color code representation of the marker foreground color of a data point (e.g.  \#FF0000 represents Red).
ExcelScript.ChartPoint	setMarkerSize(markerSize)	Method	Represents marker size of a data point.
ExcelScript.ChartPoint	setMarkerStyle(markerStyle)	Method	Represents marker style of a chart data point.
ExcelScript.ChartPointFormat		Class	Represents the formatting object for chart points.
ExcelScript.ChartPointFormat	getBorder()	Method	Represents the border format of a chart data point  which includes color  style  and weight information.
ExcelScript.ChartPointFormat	getFill()	Method	Represents the fill format of a chart  which includes background formatting information.
ExcelScript.ChartSeries		Class	Represents a series in a chart.
ExcelScript.ChartSeries	addChartTrendline(type)	Method	Adds a new trendline to trendline collection.
ExcelScript.ChartSeries	delete()	Method	Deletes the chart series.
ExcelScript.ChartSeries	getAxisGroup()	Method	Specifies the group for the specified series.
ExcelScript.ChartSeries	getBinOptions()	Method	Encapsulates the bin options for histogram charts and pareto charts.
ExcelScript.ChartSeries	getBoxwhiskerOptions()	Method	Encapsulates the options for the box and whisker charts.
ExcelScript.ChartSeries	getBubbleScale()	Method	This can be an integer value from 0 (zero) to 300  representing the percentage of the default size.
ExcelScript.ChartSeries	getChartTrendline(index)	Method	Gets a trendline object by index  which is the insertion order in the items array.
ExcelScript.ChartSeries	getChartType()	Method	Represents the chart type of a series.
ExcelScript.ChartSeries	getDataLabels()	Method	Represents a collection of all data labels in the series.
ExcelScript.ChartSeries	getDimensionValues(dimension)	Method	Gets the values from a single dimension of the chart series.
ExcelScript.ChartSeries	getDoughnutHoleSize()	Method	Represents the doughnut hole size of a chart series.
ExcelScript.ChartSeries	getExplosion()	Method	Specifies the explosion value for a pie-chart or doughnut-chart slice.
ExcelScript.ChartSeries	getFiltered()	Method	Specifies if the series is filtered.
ExcelScript.ChartSeries	getFirstSliceAngle()	Method	Specifies the angle of the first pie-chart or doughnut-chart slice  in degrees (clockwise from vertical).
ExcelScript.ChartSeries	getFormat()	Method	Represents the formatting of a chart series  which includes fill and line formatting.
ExcelScript.ChartSeries	getGapWidth()	Method	Represents the gap width of a chart series.
ExcelScript.ChartSeries	getGradientMaximumColor()	Method	Specifies the color for maximum value of a region map chart series.
ExcelScript.ChartSeries	getGradientMaximumType()	Method	Specifies the type for maximum value of a region map chart series.
ExcelScript.ChartSeries	getGradientMaximumValue()	Method	Specifies the maximum value of a region map chart series.
ExcelScript.ChartSeries	getGradientMidpointColor()	Method	Specifies the color for the midpoint value of a region map chart series.
ExcelScript.ChartSeries	getGradientMidpointType()	Method	Specifies the type for the midpoint value of a region map chart series.
ExcelScript.ChartSeries	getGradientMidpointValue()	Method	Specifies the midpoint value of a region map chart series.
ExcelScript.ChartSeries	getGradientMinimumColor()	Method	Specifies the color for the minimum value of a region map chart series.
ExcelScript.ChartSeries	getGradientMinimumType()	Method	Specifies the type for the minimum value of a region map chart series.
ExcelScript.ChartSeries	getGradientMinimumValue()	Method	Specifies the minimum value of a region map chart series.
ExcelScript.ChartSeries	getGradientStyle()	Method	Specifies the series gradient style of a region map chart.
ExcelScript.ChartSeries	getHasDataLabels()	Method	Specifies if the series has data labels.
ExcelScript.ChartSeries	getInvertColor()	Method	Specifies the fill color for negative data points in a series.
ExcelScript.ChartSeries	getInvertIfNegative()	Method	True if Excel inverts the pattern in the item when it corresponds to a negative number.
ExcelScript.ChartSeries	getMapOptions()	Method	Encapsulates the options for a region map chart.
ExcelScript.ChartSeries	getMarkerBackgroundColor()	Method	Specifies the marker background color of a chart series.
ExcelScript.ChartSeries	getMarkerForegroundColor()	Method	Specifies the marker foreground color of a chart series.
ExcelScript.ChartSeries	getMarkerSize()	Method	Specifies the marker size of a chart series.
ExcelScript.ChartSeries	getMarkerStyle()	Method	Specifies the marker style of a chart series.
ExcelScript.ChartSeries	getName()	Method	Specifies the name of a series in a chart.
ExcelScript.ChartSeries	getOverlap()	Method	Specifies how bars and columns are positioned.
ExcelScript.ChartSeries	getParentLabelStrategy()	Method	Specifies the series parent label strategy area for a treemap chart.
ExcelScript.ChartSeries	getPlotOrder()	Method	Specifies the plot order of a chart series within the chart group.
ExcelScript.ChartSeries	getPoints()	Method	Returns a collection of all points in the series.
ExcelScript.ChartSeries	getSecondPlotSize()	Method	Specifies the size of the secondary section of either a pie-of-pie chart or a bar-of-pie chart  as a percentage of the size of the primary pie.
ExcelScript.ChartSeries	getShowConnectorLines()	Method	Specifies whether connector lines are shown in waterfall charts.
ExcelScript.ChartSeries	getShowLeaderLines()	Method	Specifies whether leader lines are displayed for each data label in the series.
ExcelScript.ChartSeries	getShowShadow()	Method	Specifies if the series has a shadow.
ExcelScript.ChartSeries	getSmooth()	Method	Specifies if the series is smooth.
ExcelScript.ChartSeries	getSplitType()	Method	Specifies the way the two sections of either a pie-of-pie chart or a bar-of-pie chart are split.
ExcelScript.ChartSeries	getSplitValue()	Method	Specifies the threshold value that separates two sections of either a pie-of-pie chart or a bar-of-pie chart.
ExcelScript.ChartSeries	getTrendlines()	Method	The collection of trendlines in the series.
ExcelScript.ChartSeries	getVaryByCategories()	Method	True if Excel assigns a different color or pattern to each data marker.
ExcelScript.ChartSeries	getXErrorBars()	Method	Represents the error bar object of a chart series.
ExcelScript.ChartSeries	getYErrorBars()	Method	Represents the error bar object of a chart series.
ExcelScript.ChartSeries	setAxisGroup(axisGroup)	Method	Specifies the group for the specified series.
ExcelScript.ChartSeries	setBubbleScale(bubbleScale)	Method	This can be an integer value from 0 (zero) to 300  representing the percentage of the default size.
ExcelScript.ChartSeries	setBubbleSizes(sourceData)	Method	Sets the bubble sizes for a chart series.
ExcelScript.ChartSeries	setChartType(chartType)	Method	Represents the chart type of a series.
ExcelScript.ChartSeries	setDoughnutHoleSize(doughnutHoleSize)	Method	Represents the doughnut hole size of a chart series.
ExcelScript.ChartSeries	setExplosion(explosion)	Method	Specifies the explosion value for a pie-chart or doughnut-chart slice.
ExcelScript.ChartSeries	setFiltered(filtered)	Method	Specifies if the series is filtered.
ExcelScript.ChartSeries	setFirstSliceAngle(firstSliceAngle)	Method	Specifies the angle of the first pie-chart or doughnut-chart slice  in degrees (clockwise from vertical).
ExcelScript.ChartSeries	setGapWidth(gapWidth)	Method	Represents the gap width of a chart series.
ExcelScript.ChartSeries	setGradientMaximumColor(gradientMaximumColor)	Method	Specifies the color for maximum value of a region map chart series.
ExcelScript.ChartSeries	setGradientMaximumType(gradientMaximumType)	Method	Specifies the type for maximum value of a region map chart series.
ExcelScript.ChartSeries	setGradientMaximumValue(gradientMaximumValue)	Method	Specifies the maximum value of a region map chart series.
ExcelScript.ChartSeries	setGradientMidpointColor(gradientMidpointColor)	Method	Specifies the color for the midpoint value of a region map chart series.
ExcelScript.ChartSeries	setGradientMidpointType(gradientMidpointType)	Method	Specifies the type for the midpoint value of a region map chart series.
ExcelScript.ChartSeries	setGradientMidpointValue(gradientMidpointValue)	Method	Specifies the midpoint value of a region map chart series.
ExcelScript.ChartSeries	setGradientMinimumColor(gradientMinimumColor)	Method	Specifies the color for the minimum value of a region map chart series.
ExcelScript.ChartSeries	setGradientMinimumType(gradientMinimumType)	Method	Specifies the type for the minimum value of a region map chart series.
ExcelScript.ChartSeries	setGradientMinimumValue(gradientMinimumValue)	Method	Specifies the minimum value of a region map chart series.
ExcelScript.ChartSeries	setGradientStyle(gradientStyle)	Method	Specifies the series gradient style of a region map chart.
ExcelScript.ChartSeries	setHasDataLabels(hasDataLabels)	Method	Specifies if the series has data labels.
ExcelScript.ChartSeries	setInvertColor(invertColor)	Method	Specifies the fill color for negative data points in a series.
ExcelScript.ChartSeries	setInvertIfNegative(invertIfNegative)	Method	True if Excel inverts the pattern in the item when it corresponds to a negative number.
ExcelScript.ChartSeries	setMarkerBackgroundColor(markerBackgroundColor)	Method	Specifies the marker background color of a chart series.
ExcelScript.ChartSeries	setMarkerForegroundColor(markerForegroundColor)	Method	Specifies the marker foreground color of a chart series.
ExcelScript.ChartSeries	setMarkerSize(markerSize)	Method	Specifies the marker size of a chart series.
ExcelScript.ChartSeries	setMarkerStyle(markerStyle)	Method	Specifies the marker style of a chart series.
ExcelScript.ChartSeries	setName(name)	Method	Specifies the name of a series in a chart.
ExcelScript.ChartSeries	setOverlap(overlap)	Method	Specifies how bars and columns are positioned.
ExcelScript.ChartSeries	setParentLabelStrategy(parentLabelStrategy)	Method	Specifies the series parent label strategy area for a treemap chart.
ExcelScript.ChartSeries	setPlotOrder(plotOrder)	Method	Specifies the plot order of a chart series within the chart group.
ExcelScript.ChartSeries	setSecondPlotSize(secondPlotSize)	Method	Specifies the size of the secondary section of either a pie-of-pie chart or a bar-of-pie chart  as a percentage of the size of the primary pie.
ExcelScript.ChartSeries	setShowConnectorLines(showConnectorLines)	Method	Specifies whether connector lines are shown in waterfall charts.
ExcelScript.ChartSeries	setShowLeaderLines(showLeaderLines)	Method	Specifies whether leader lines are displayed for each data label in the series.
ExcelScript.ChartSeries	setShowShadow(showShadow)	Method	Specifies if the series has a shadow.
ExcelScript.ChartSeries	setSmooth(smooth)	Method	Specifies if the series is smooth.
ExcelScript.ChartSeries	setSplitType(splitType)	Method	Specifies the way the two sections of either a pie-of-pie chart or a bar-of-pie chart are split.
ExcelScript.ChartSeries	setSplitValue(splitValue)	Method	Specifies the threshold value that separates two sections of either a pie-of-pie chart or a bar-of-pie chart.
ExcelScript.ChartSeries	setValues(sourceData)	Method	Sets the values for a chart series.
ExcelScript.ChartSeries	setVaryByCategories(varyByCategories)	Method	True if Excel assigns a different color or pattern to each data marker.
ExcelScript.ChartSeries	setXAxisValues(sourceData)	Method	Sets the values of the x-axis for a chart series.
ExcelScript.ChartSeriesBy		Class	Specifies whether the series are by rows or by columns.
ExcelScript.ChartSeriesBy	auto	EnumField	"In Excel on desktop  the ""auto"" option will inspect the source data shape to automatically guess whether the data is by rows or columns."
ExcelScript.ChartSeriesBy	columns	EnumField	
ExcelScript.ChartSeriesBy	rows	EnumField	
ExcelScript.ChartSeriesDimension		Class	Represents the dimensions when getting values from chart series.
ExcelScript.ChartSeriesDimension	bubbleSizes	EnumField	The chart series axis for the bubble sizes in bubble charts.
ExcelScript.ChartSeriesDimension	categories	EnumField	The chart series axis for the categories.
ExcelScript.ChartSeriesDimension	values	EnumField	The chart series axis for the values.
ExcelScript.ChartSeriesDimension	xvalues	EnumField	The chart series axis for the x-axis values in scatter and bubble charts.
ExcelScript.ChartSeriesDimension	yvalues	EnumField	The chart series axis for the y-axis values in scatter and bubble charts.
ExcelScript.ChartSeriesFormat		Class	Encapsulates the format properties for the chart series
ExcelScript.ChartSeriesFormat	getFill()	Method	Represents the fill format of a chart series  which includes background formatting information.
ExcelScript.ChartSeriesFormat	getLine()	Method	Represents line formatting.
ExcelScript.ChartSplitType		Class	
ExcelScript.ChartSplitType	splitByCustomSplit	EnumField	
ExcelScript.ChartSplitType	splitByPercentValue	EnumField	
ExcelScript.ChartSplitType	splitByPosition	EnumField	
ExcelScript.ChartSplitType	splitByValue	EnumField	
ExcelScript.ChartTextHorizontalAlignment		Class	Represents the horizontal alignment for the specified object.
ExcelScript.ChartTextHorizontalAlignment	center	EnumField	
ExcelScript.ChartTextHorizontalAlignment	distributed	EnumField	
ExcelScript.ChartTextHorizontalAlignment	justify	EnumField	
ExcelScript.ChartTextHorizontalAlignment	left	EnumField	
ExcelScript.ChartTextHorizontalAlignment	right	EnumField	
ExcelScript.ChartTextVerticalAlignment		Class	Represents the vertical alignment for the specified object.
ExcelScript.ChartTextVerticalAlignment	bottom	EnumField	
ExcelScript.ChartTextVerticalAlignment	center	EnumField	
ExcelScript.ChartTextVerticalAlignment	distributed	EnumField	
ExcelScript.ChartTextVerticalAlignment	justify	EnumField	
ExcelScript.ChartTextVerticalAlignment	top	EnumField	
ExcelScript.ChartTickLabelAlignment		Class	
ExcelScript.ChartTickLabelAlignment	center	EnumField	
ExcelScript.ChartTickLabelAlignment	left	EnumField	
ExcelScript.ChartTickLabelAlignment	right	EnumField	
ExcelScript.ChartTitle		Class	Represents a chart title object of a chart.
ExcelScript.ChartTitle	getFormat()	Method	Represents the formatting of a chart title  which includes fill and font formatting.
ExcelScript.ChartTitle	getHeight()	Method	Returns the height  in points  of the chart title.
ExcelScript.ChartTitle	getHorizontalAlignment()	Method	Specifies the horizontal alignment for chart title.
ExcelScript.ChartTitle	getLeft()	Method	Specifies the distance  in points  from the left edge of chart title to the left edge of chart area.
ExcelScript.ChartTitle	getOverlay()	Method	Specifies if the chart title will overlay the chart.
ExcelScript.ChartTitle	getPosition()	Method	Represents the position of chart title.
ExcelScript.ChartTitle	getShowShadow()	Method	Represents a boolean value that determines if the chart title has a shadow.
ExcelScript.ChartTitle	getSubstring(start	Method	Get the substring of a chart title.
ExcelScript.ChartTitle	getText()	Method	Specifies the chart's title text.
ExcelScript.ChartTitle	getTextOrientation()	Method	Specifies the angle to which the text is oriented for the chart title.
ExcelScript.ChartTitle	getTop()	Method	Specifies the distance  in points  from the top edge of chart title to the top of chart area.
